student_id,f0_
274501,8
275173,45
275005,4
266512,107
263494,24
268863,21
260192,23
268978,56
272907,8
275178,1
271348,35
265101,76
274990,6
259884,36
275184,1
258798,1
258800,29
258803,19
258807,1
258809,3
258810,1
258812,1
258813,1
258814,2
258816,1
258817,1
258818,77
258822,15
258824,1
258826,1
258827,1
258828,1
258829,1
258830,1
258831,1
258832,12
258833,1
258840,2
258841,2
258845,23
258846,1
258848,1
258852,1
258855,1
258861,2
258862,21
258865,14
258869,1
258870,3
258871,1
258876,5
258879,1
258882,1
258883,3
258884,1
258887,1
258888,1
258890,1
258892,3
258897,1
258902,2
258904,6
258905,1
258906,9
258908,10
258912,3
258913,41
258914,1
258922,15
258924,9
258925,1
258927,2
258930,13
258933,2
258936,2
258939,1
258940,2
258947,1
258951,7
258954,1
258955,13
258956,17
258957,1
258959,1
258960,1
258962,1
258965,1
258967,1
258969,1
258971,20
258973,1
258979,2
258980,11
258982,1
258984,19
258987,1
258989,1
258991,1
258993,1
258998,1
258999,1
259000,3
259001,2
259005,4
259008,1
259011,51
259012,3
259014,1
259015,6
259017,1
259018,1
259022,1
259026,29
259028,7
259032,1
259033,1
259034,4
259035,1
259039,14
259040,1
259041,1
259043,2
259045,1
259047,2
259048,1
259051,1
259054,5
259055,1
259056,1
259058,1
259059,1
259060,3
259063,1
259065,1
259068,2
259070,19
259072,1
259077,1
259078,1
259079,1
259080,3
259084,2
259085,1
259086,1
259088,5
259093,2
259095,1
259098,2
259099,1
259101,2
259102,1
259103,1
259104,1
259105,7
259106,75
259108,4
259110,3
259114,1
259115,1
259118,4
259121,2
259123,3
259126,1
259127,1
259132,3
259133,1
259137,1
259138,1
259143,2
259144,1
259145,1
259146,1
259150,1
259152,2
259155,7
259156,1
259158,1
259164,1
259165,1
259167,2
259170,1
259171,7
259174,98
259178,3
259180,4
259181,1
259183,2
259184,1
259187,2
259190,2
259191,1
259192,1
259196,1
259198,7
259201,1
259203,2
259204,1
259205,2
259207,2
259211,4
259213,1
259222,1
259223,1
259225,1
259226,2
259229,4
259231,1
259240,2
259247,3
259250,1
259254,4
259258,44
259260,5
259261,2
259262,43
259268,20
259273,2
259274,1
259275,1
259283,103
259284,3
259286,1
259297,5
259298,1
259300,25
259305,16
259306,1
259307,2
259311,1
259315,1
259316,1
259317,3
259319,1
259325,1
259326,1
259329,2
259333,1
259337,1
259349,1
259350,5
259351,2
259354,3
259355,1
259356,2
259360,1
259364,4
259365,1
259372,1
259379,1
