student_id,minutes_watched,date_watched
262297,14.6,2022-08-13
262297,24.6,2022-02-02
262297,20.8,2022-02-03
262297,50.9,2022-02-05
262297,17.3,2022-02-10
262297,33.4,2022-02-13
262297,17.4,2022-02-14
262297,15.5,2022-04-30
262297,1.4,2022-05-03
258893,25.3,2022-01-02
258955,51.6,2022-01-02
258955,41.7,2022-01-03
258955,66.4,2022-01-04
258955,16.8,2022-01-05
258955,50.4,2022-01-07
258955,31.7,2022-01-12
258955,31.0,2022-01-13
258955,53.9,2022-01-14
258955,21.5,2022-01-18
258955,1.3,2022-01-19
258955,29.5,2022-06-07
258955,64.4,2022-06-08
259001,5.5,2022-01-02
259001,2.4,2022-01-03
259247,15.5,2022-01-06
259247,59.7,2022-01-08
259427,7.7,2022-01-06
259427,2.2,2022-01-07
259427,25.8,2022-01-08
259427,12.2,2022-01-09
259427,3.9,2022-01-10
259427,3.8,2022-01-11
259427,21.0,2022-01-13
259427,19.3,2022-01-14
259427,5.6,2022-01-15
259427,6.6,2022-01-17
259427,3.8,2022-01-21
259494,11.8,2022-09-20
259494,26.2,2022-01-23
259494,20.6,2022-01-24
259494,38.0,2022-01-29
259494,18.2,2022-01-30
259494,23.9,2022-02-09
259494,43.4,2022-02-10
259494,104.7,2022-02-12
259494,124.8,2022-03-12
259494,126.8,2022-03-13
259494,4.4,2022-03-15
259494,153.0,2022-03-19
259494,81.3,2022-03-20
259494,54.0,2022-03-22
259494,111.8,2022-04-03
259494,1.8,2022-04-06
260216,0.5,2022-01-18
260216,22.7,2022-01-21
260216,20.5,2022-01-24
260216,23.8,2022-01-27
260746,0.1,2022-01-17
260829,59.6,2022-01-18
260829,104.8,2022-01-20
260829,12.8,2022-01-21
260829,25.1,2022-01-22
260829,0.3,2022-10-06
260829,41.8,2022-01-24
260829,55.3,2022-01-25
260829,65.1,2022-01-26
260829,9.7,2022-01-27
260829,20.6,2022-01-30
260829,0.3,2022-04-13
260829,14.5,2022-04-26
260829,31.7,2022-05-03
260829,32.9,2022-05-04
260829,86.3,2022-05-05
260829,35.3,2022-05-14
260829,29.9,2022-05-17
260829,27.8,2022-05-18
260829,25.7,2022-05-19
260829,10.3,2022-05-21
261268,55.9,2022-01-22
261268,118.2,2022-01-23
261268,82.6,2022-01-24
261268,102.1,2022-01-25
261268,93.1,2022-01-26
261268,81.4,2022-01-27
261268,57.6,2022-01-28
261268,116.9,2022-01-29
261268,123.9,2022-01-31
261268,55.7,2022-02-01
261268,67.3,2022-02-02
261268,47.1,2022-02-03
261456,0.9,2022-01-24
261490,0.9,2022-01-24
261490,10.8,2022-01-26
261490,27.7,2022-01-27
261490,17.9,2022-04-15
261490,8.5,2022-04-18
261490,23.2,2022-04-20
261490,2.6,2022-05-21
261490,7.8,2022-05-22
261490,7.2,2022-06-04
