student_id,student_country,date_registered,has_purchased,has_onboarded
262297,AD,2022-02-01,YES,YES
292997,AD,2022-10-02,NO,NO
258893,AE,2022-01-01,NO,YES
258955,AE,2022-01-02,YES,YES
258968,AE,2022-01-02,NO,NO
258983,AE,2022-01-02,NO,NO
259001,AE,2022-01-02,NO,YES
259247,AE,2022-01-04,NO,YES
259291,AE,2022-01-04,NO,NO
259427,AE,2022-01-06,NO,YES
259461,AE,2022-01-06,NO,NO
259494,AE,2022-01-06,YES,YES
260216,AE,2022-01-13,YES,YES
260257,AE,2022-01-13,NO,NO
260288,AE,2022-01-13,NO,NO
260313,AE,2022-01-13,NO,NO
260367,AE,2022-01-14,NO,NO
260391,AE,2022-01-14,NO,NO
260658,AE,2022-01-16,NO,NO
260746,AE,2022-01-17,NO,YES
260829,AE,2022-01-18,YES,YES
260941,AE,2022-01-19,NO,NO
261060,AE,2022-01-20,NO,NO
261164,AE,2022-01-21,NO,NO
261250,AE,2022-01-22,NO,NO
261268,AE,2022-01-22,YES,YES
261301,AE,2022-01-23,NO,NO
261304,AE,2022-01-23,NO,NO
261456,AE,2022-01-24,NO,YES
261490,AE,2022-01-24,YES,YES
261541,AE,2022-01-25,NO,NO
261543,AE,2022-01-25,NO,YES
261557,AE,2022-01-25,NO,YES
261578,AE,2022-01-25,NO,YES
261619,AE,2022-01-26,YES,YES
261625,AE,2022-01-26,NO,YES
261728,AE,2022-01-27,NO,NO
261737,AE,2022-01-27,YES,YES
261748,AE,2022-01-27,NO,YES
261914,AE,2022-01-29,NO,YES
261933,AE,2022-01-29,NO,YES
262017,AE,2022-01-30,NO,NO
262051,AE,2022-01-30,NO,NO
262233,AE,2022-02-01,NO,NO
262325,AE,2022-02-02,NO,YES
262771,AE,2022-02-05,NO,YES
262850,AE,2022-02-06,NO,YES
263150,AE,2022-02-09,NO,NO
263194,AE,2022-02-09,NO,YES
263701,AE,2022-02-15,NO,NO
263734,AE,2022-02-15,NO,YES
263831,AE,2022-02-16,NO,NO
263988,AE,2022-02-17,NO,NO
264327,AE,2022-02-20,NO,NO
264513,AE,2022-02-21,YES,YES
264614,AE,2022-02-22,NO,NO
264732,AE,2022-02-23,YES,YES
264750,AE,2022-02-23,NO,YES
265447,AE,2022-03-01,NO,YES
265478,AE,2022-03-01,NO,YES
265556,AE,2022-03-01,NO,NO
265833,AE,2022-03-04,NO,NO
